	Descricao
6603	DIALINE ESM SECA RAP BRANCO NEVE 3,0L I#
6604	DIALINE ESM SECA RAP PLATINA 3,0L IQUIN#
6605	DIALINE ESM SECA RAP CINZA ESCUR 3,0L I#
6606	DIALINE ESM SECA RAP M TABACO 3,0L IQUIN
6607	ESMALTE DIALINE BRANCO NEVE 750ML IQUINE
6608	DIALINE SECA RAP PRETO BRILHATE 750ML IQ
6609	ESMAL SINT DIALINE LT PLATINA 750ML IQUI
6610	DIALINE SEC REP 750ML MARROM TABACO#
6611	CASCALHINHO LATA #
6612	PORTA VENEZ.LAMBRIL 0,80X2,10 TIMBORANA#
6613	PORTA LAMBRIL 0,70X2,10 TIMBORANA#
6614	PORTA LAMBRIL 0,80X2,10 TIMBORANA#
6615	JANELA LAMBRIL 0,79X1,00 TIMBORANA#
6616	JANELA LAMBRIL 0,79X1,20 TIMBORANA#
6617	SPRO ACR FOSC ECON INT LARANJ SALMAO 15L
6618	ACRIL STAND INT/EXT LIRIO 15LT SBRAS
6619	FERRO 5/16 P/ CONSTRUCAO C/12MT #
6620	GRANITO 0,30X1,50 UBATUBA #
6621	CHURRASQUEIRA MINI MARFIM C/ PECAS INOX#
6622	DISJUNTOR TERMOMAG MONOPOLAR 10A ELGIN
6623	DISJUNTOR TERMOMAG MONOPOLAR 16A ELGIN
6624	DISJUNTOR TERMOMAG MONOPOLAR 20A ELGIN
6625	DISJUNTOR TERMOMAG MONOPOLAR 25A ELGIN
6626	BOMBA PERIF 1/2CV 220V QB60 AZ/PT DIMAX
6627	BASCULANTE MC AL NAT VDR 0,40X 0,40 2FLS
6628	REV190036 ONDINA TERRACOTA 30X60 CX2,37
6629	PISO PARQUET ACACIA 60X60 CX 2,20 POINT
6630	CAP ROSCAVEL 3/4 KRONA
6631	ELETRODUTO CORRUG PVC FLEX  20MM KRONA
6632	ANEL VEDACAO C/GUIA P/VAS SANITARIO JAPI
6633	DUCHA HIG PARED ABS PRETA 1/4VOLTA JAPI
6634	FITA SILVER 48MM X 5M JAPI
6635	CUBA DE APOIO RAVENA BR 345X345X155 JAPI
6636	CAIXA SIFONADA QUAD. BR.10X12CM ASTRA
6637	PRATELEIRA MULTIUSO/SUP.40X20CM ASTRA
6638	PRATELEIRA MULTIUSO/SUP.60X20CM ASTRA
6639	RESISTENCIA 7500W 220V ADVANC MULTI ASTR
6640	ASSENTO FIT/ VERSATO EM PP ASTRA
6641	VALVULA LAVAT PRET S/ LADRAO E UNHO ASTR
6642	JOELHO 90 ESGOTO 40MM TIGRE
6643	LIXA FERRO GR120 225X275 - WORKER
6644	VERNIZ SUVINIL NATURAL BRILHAN 3,6L#
6645	CONJ 1INT BIPOLA SIMP RE 25A-250V 4X2 MG
6646	CONJ 2INT PARAL 6A-250V 4X2 RENOVA MG
6647	CONJ 2 INT SIMPLES 6A-250V 4X2 RENOVA MG
6648	PIA INOX C/ESCORREDO 1,50M C/C S/VALV#
6649	CORANTE AMARELO 50ML - HIDRO
6650	CORANTE PRETO 50ML - HIDRO
6651	CORANTE VERDE 50ML - HIDRO
6652	CORANTE VERMELHO 50ML - HIDRO
6653	RALO OCULTO QUAD 10X10 ASTRA
6654	ASSENTO VERSATO ALMOFADADO ASTRA
6655	BARRAMENT MONOFASE 12PINOS 63A 440V MG
6656	BARRAMENT TRIFASE 12 PINOS 63A 440V MG
6657	PLACA 4X2 CEGA BR RENOVA MG
6658	PLACA 4X4 CEGA BR RENOVA MG
6659	CONJ 1INT-SIM 6A+2TOM 2P+T10A-250V RE MG
6660	CONJ 2INT SIM-6A+1TOM 2P+T10A-250V RENOV
6661	CONJ 1 CIGARRA 220V 4X2 BR RENOVA MG
6662	CONJ 1INT PULSAD CAMPAINHA 4X2 BR REN MG
6663	CONJ 1INT PARALE 6A-250V 4X2 BR RENOV MG
6664	CONJ 1TOM PAD 2P+T 20A-250V 4X2 RENOV MG
6665	CONJ 2TOM PAD 2P+T 10A-250V 4X2 RENOV MG
6666	CONJ 2TOM PAD 2P+T 20A-250V 4X2 RENOV MG
6667	CONJ 3INT SIMPLE 6A-250V 4X2 BR RENOV MG
6668	CONJ 3TOM PAD 2P+T 10A-250V 4X2 RENOV MG
6669	CONJ 1INT SIMPLE 6A-250V 4X2 BR RENOV MG
6670	CABO FLEXSIL 750 V 1,50 AMARELO PC100
6672	FIXA PORTA PVC #
6673	CONJ. BACIA C/CAIXA P 6LT PARATI LOGASA
6674	BACIA S/CAIXA ACOPLADA PARATI BR LOGASA
6675	TRAVA P/PORTA PISO POLIM SOPRANO
6676	PISO UNIQUE HD 45X45 CX2,00 FORMIGRES#
6677	PISO ALLURE PT HD 45X45 CX2,00 FORMIGRE#
6678	PISO NAVARRO MATE 60X120 CX2,16 FORMIGR#
6679	PISO AVELA MATE RT 60X120 CX2,16 FORMIG#
6680	PISO CORTEN RT POL 60X120 CX2,16 FORMIG#
6681	PISO CALACATA RT POL 66X66 CX2,18 FORMI#
6682	PISO SPRING HD 34X60 CX2,10 FORMIGRES#
6683	PISO FLAMBOYANT MR HD 20X60 CX1,46 FORM#
6684	PISO SENSE HD 34X60 CX2,10 FORMIGRES#
6685	PISO MARMORE BG HD 34X60 CX2,10 FORMIGR#
6686	PISO MARMORE CZ HD 34X60 CX2,10 FORMIGR#
6687	PISO FENIX HD 20X60 CX1,46 FORMIGRES#
6688	TORN COZ PAR ALT MOV LINEA BR/CR 1/2-3/4
6689	PISO PARQUET JEQUITIBA 60X60 CX 2,20 POI
6690	PISO FORTALEZA C 62,5X62,5 CX2,34 ELIZAB
6691	BANDEJA PLAST 23CM PRETA ECON ACES TIGRE
6692	GANCHO DE REDE F.L.O CARGA 150KG PA UNIA
6693	FECHO CONCHA P/JANELA CORR Z.F.CRO UNIAO
6694	FECHO CONCHA P/JANELA CORR Z.F.L.O UNIAO
6695	TRANQUETA ZAMAC BICO VIRADO CROMAD UNIAO
6696	PRENDEDOR DE PORTA CROMADO UNIAO
6697	TRINCO FIO REDON L.LEVE ACO 50MM. ZIC UN
6698	TRINCO FIO REDON L.LEVE ACO 75MM. ZIC UN
6699	TRINCO FIO REDON L.LEVE ACO 100MM.ZIC UN
6700	REJUNTE ACRILICO BRANCO 1KG REJUNTAMIX
6701	REJUNTE ACRILICO AREIA 1KG REJUNTAMIX
6702	REJUNTE EXTRAPORCELANATO CAPON 1KG RMIX
6703	CACAMBA PLASTICA 1309-33 TIGRE
6704	FITA CREPE USO GERAL 18MMX50M TIGRE
6705	ELETRODUTO CORRUG PVC FLEX 25MM KRONA
6706	FECHADURA LAFONTE 222N-55 PB AUXILIAR#
6707	FECHADURA LAFONTE 4020-45 PB AUXILIAR#
6708	TARJETA LAFONTE 719-AZ CR#
6709	FECHO LAFONTE 400-20X3/4 CR#
6710	FECHO LAFONTE 400-20X3/4 PB#
6711	FECHO LAFONTE 400-20X3/4 CRA#
6713	SPRAY ANJO ALTA TEMPER ALUMINIO 400ML
6714	SPRAY ANJO ALTA TEMPER PRETO 400ML
6715	SPRAY ANJO USO GERAL BRANCO BRI 400ML
6716	SPRAY ANJO USO GERAL PRETO BRI 400ML
6717	SPRAY ANJO USO GERAL PRETO FOSCO 4OOML
6718	SPRAY ANJO USO GERAL VERMELHO 400ML
6719	SPRAY ANJO METALICA DOURADA 400ML
6720	REGULADOR GAS 504/01 S/MANG BLIN ALIANCA
6721	REGULADOR GAS 506/01 BLINDADO - ALIANCA
6722	TINTA ESMALTE STARLUX CINZA MEDIO 750ML
6723	TINTA ESMALTE STARLUX MARROM TABACO 3L
6724	TINTA ESMALTE STARLUX CINZA ESCURO 3L
6725	BATIDA DE PEDRA 900ML STARLUX
6726	LIXA DAGUA G320 QUARTZOLIT
6727	INDICADOR REAGENTE CLORO 23ML QUIMIL
6728	INDICADOR REAGENTE PH 23ML QUIMIL
6730	QCLOR SUPER ACAO BD 10KG QUIMIL
6731	QCLOR BARRILHA 2KG QUIMIL
6732	QCLOR ALGICIDA DE CHOQUE 1L QUIMIL
6733	QCLOR ALGICIDA DE MANUTENCAO 1L
6734	CAIXA DE GORDURA TIGRE DN100
6735	REVES MUSICA GRIGIO 37X59 A CX2,43 RAVEL
6736	PISO CEMENTO ACENTI 45X45 B CX2,00 RAVEL
6737	PISO ROCHA BEIGE 45X45 A CX2,00 RAVELLO
6738	PISO CALACATA ORO BRI 45X45 A CX2,00 RAV
6739	REVEST OPERA 37X59 TIPO A CX 2,43 RAVELL
6740	REVEST ARTE GRIGIO 37X59 A CX2,43 RAVELL
6741	REGISTRO GAVETA DN32(1) PRIMOR DOCOL#
6742	ABRACADEIRA NYLON 6.6 NAT W-MAX 2,5X100
6743	ABRACADEIRA NYLON 6.6 PTA W-MAX 2,5X100
6744	ABRACADEIRA NYLON 6.6 PTA W-MAX 3,5X200
6745	SELANTE ACRILICO W-MAX BRANCO 280ML/460G
6746	FOLHA LIXA FERRO G36 W-MAX
6747	FOLHA LIXA FERRO G80 W-MAX
6748	FOLHA LIXA FERRO G100 W-MAX
6749	FOLHA LIXA FERRO G120 W-MAX
6750	PROTETOR AUDITIVO DE COPOLIMERO W-MAX
6751	OCULOS WURTH PRO INCOLOR HASTE PRETA
6752	PARAF SX R SOBERBA ZINC 1/4"X35MM WMAX
6753	1198TORN LAV/MESA B.MOV C31 1/4V1/2D REA
6754	1168TORN ABS PI/CZ/ME CR C50 1/4V1/2 INJ
6755	1168TORN ABS PI/CZ/ME BC C50 1/4V1/2 INJ
6756	1168TORN ABS PI/CZ/ME BC.MONOC 1/4V INJE
6757	KIT BACIA+CX ACOPLADA BC QUADRA DECA
6758	GRAXA BRANCA W-MAX 300ML/200G
6759	BROCA ACO RAPIDO " 1/2" STANLEY
6760	BUCHA RED ROSC 25X20MM KRONA
6761	ABRACADEIRA SEM FIM ZNB W-MAX 10X16X9
6762	ABRACADEIRA SEM FIM ZNB W-MAX 12X22X9
6763	ABRACADEIRA SEM FIM ZNB W-MAX 16X27X9
6764	ABRACADEIRA SEM FIM ZNB W-MAX 20X32X9
6765	ABRACADEIRA SEM FIM ZNB W-MAX 25X40X9
6766	ABRACADEIRA SEM FIM ZNB W-MAX 30X45X9
6767	ABRACADEIRA SEM FIM ZNB W-MAX 32X50X9
6768	ABRACADEIRA SEM FIM ZNB W-MAX 40X60X9
6769	ABRACADEIRA SEM FIM ZNB W-MAX 50X70X9
6770	ABRACADEIRA SEM FIM ZNB W-MAX 60X80X9
6771	ABRACADEIRA SEM FIM ZNB W-MAX 70X89X9
6772	ABRACADEIRA SEM FIM ZNB W-MAX 80X100X9
6773	ABRACADEIRA SEM FIM ZNB W-MAX 90X110X9
6774	GRAXA ADESIVA W-MAX 300ML/200G
6775	PU 40 MULTIUSO W-MAX PRETO 212ML/360G
6776	TINTA SPRAY UG 400ML W-MAX AZUL CLARO
6777	TINTA SPRAY UG 400ML W-MAX AZUL ESCURO
6778	TINTA SPRAY UG 400ML W-MAX CINZA CLARO
6779	TINTA SPRAY MT 400ML W-MAX ALU BR ROD
6780	REBITE REPUXO ALUMINIO 4X19MM 419
6781	1173 TORN MESA/LAVAT CR SMART MATIC DECA
6782	ACABA P/REG.1/2,3/4 1 C21 PQ FXP.CR DECA
6783	ACABA P/REG.1/2,3/4 1 C20 PQ FLX.CR DECA
6784	PISO ESM.ACET 62,5X62,5 C VITORIA CX2,34
6785	PISO ESM.EXT 62,5X62,5 A ACU CX2,34 ELIZ
6786	1198 TORN BANHEIRO HYDRAPLUS METALIZADA
6787	1198 TORN BANHEIRO HYDRAPLUS PRETA
6788	1167 TORN COZINHA BANCADA HYDRAPLUS PRET
6789	1130 TORN USO GERAL LONGA HYDRAMAX BRANC
6790	1167 TORN COZINH BANCADA HYDRAPLUS METAL
6791	CIMENTO 1KG#
6792	1198 TORN BANHEIRO HYDRAPLUS BC/CR
6793	ABRACADEIRA ACO 9MM 9-13 PLUS LOTUS UND
6794	ABRACADEIR ACO 14MM 19-27 PLUS LOTUS UND
6795	CUNHA NIVELAMENTO DE PISO C/100 LOTUS
6796	ABRACADEIRA INOX BORBOLETA 06-13 LOTUS U
6797	ABRACADEIRA INOX BORBOLETA 11-20 LOTUS U
6798	ABRACADEIRA INOX BORBOLETA 13-23 LOTUS U
6799	ABRACADEIRA INOX BORBOLETA 14-27 LOTUS U
6800	ABRACADEIRA INOX BORBOLETA 18-32 LOTUS U
6801	BOMBA AR MANUAL S/MEDIDOR 32X250MM LOTUS
6802	TALHADEIRA MANUAL 12X19MM PLUS LOTUS
6803	CHAVE FENDA CRV 1/8 X 4 PL FLEX LOTUS
6804	CHAVE FENDA CRV 3/16 X 3 PL FLEX LOTUS
6805	CHAVE FENDA CRV 3/16 X 4 PL FLEX LOTUS
6806	CHAVE FENDA CRV 3/16 X 6 PL FLEX LOTUS
6807	CHAVE FENDA CRV 1/4 X 4 PL FLEX LOTUS
6808	CHAVE FENDA CRV 1/4 X 5 PL FLEX LOTUS
6809	CHAVE FENDA CRV 1/4 X 6 PL FLEX LOTUS
6810	PORTA BITS 6MM 1/4 MAG CRV LOTUS UND
6811	JOGO CHAVE TORX C/9 PRETA VAZADA LOTUS
6812	CHAVE DE BIELA LONGA GALV 11MM LOTUS
6813	CHAVE DE BIELA LONGA GALV 12MM LOTUS
6814	CHAVE COMBINADA 6 C/ CLIP 300/75 LOTUS
6815	CHAVE COMBINADA 7 C/ CLIP 300/75 LOTUS
6816	CHAVE COMBINADA 9 C/ CLIP 300/50 LOTUS
6817	CHAVE COMBINADA 14 C/ CLIP 160/40 LOTUS
6818	COLHER CANTO RETO 7 PLUS 60/12 LOTUS
6819	COLHER CANTO REDONDO 8" PLUS LOTUS
6820	COLHER CANTO REDONDO 9 PLUS 120/12 LOTUS
6821	DISCO DIAM TURBO 110MM FLEX LOTUS
6822	DISCO DIAM SEG 110MM FLEX LOTUS
6823	DISCO DIAM TURBO PORCEL 110X22,2MM LOTUS
6824	DISCO CORTE DIAM MULTIUSO 100MM LOTUS
6825	DISCO DESBASTE 4,5X1/4X22,2MM FLEX LOTUS
6826	REBOLO COPO CONICO 100X50MM G60 F LOTUS
6827	DISCO FLAP 4.1/2 G60 ZIRCONIA LOTUS
6828	DISCO FLAP 4 1/2 G80 ZIRCONIA LOTUS
6829	DISCO FLAP 4.1/2 G100 ZIRCONIA LOTUS
6830	DISCO FLAP 4.1/2 G120 ZIRCONIA LOTUS
6831	DISCO LIXA ALUMINA 115MM G36 LOTUS
6832	DISCO LIXA ALUMINA 115MM G50 LOTUS
6833	DISCO LIXA ALUMINA 115MM G100 LOTUS
6834	DISCO LIXA ALUMINA 115MM G120 LOTUS
6835	ESCOVA PINCEL 1/4 X 1 OND 25MM LOTUS
6836	CLIPS ESPACADOR DE PISO 1.5 MM LOTUS
6837	CLIPS ESPACADOR DE PISO 2.0 MM LOTUS
6838	CLIPS ESPACADOR DE PISO 1.0 MM LOTUS
6839	GRAMPOS 0,7 X 6MM EMB C/1000 50/1 LOTUS
6840	ESTILETE 1 LAMINA 25MM PRO 144/12 LOTUS
6841	MAO FRANCESA VIDRO 16,5X25CM LOTUS
6842	SUPORTE PRATEL NIQUEL 2 FUROS C/10 LOTUS
6843	CANTONEIRA 20X20 FLEX LOTUS
6844	CANTONEIRA 40X40 FLEX LOTUS
6845	MARRETA BORRACHA BRANCA 40MM LOTUS
6846	MARRETA BORRACHA BRANCA 60MM LOTUS
6847	DETECTOR TENSAO C/LED 1000V AC LOTUS
6848	CABO PARA MULTIMETRO PLUS LOTUS
6849	TRENA CRISTAL PC 5MX25MM PRIX LOTUS
6850	TRENA EMB 5X25MM C/3 TRAVAS LOTUS
6851	CAMARA DE AR 3,25 X 8 100/1 LOTUS
6852	CAMARA DE AR 4,0 X 8 100/1 LOTUS
6853	PULVERIZADOR 1500ML PLUS LOTUS
6854	JOGO SERRA COPO C/6 32-38-51-54MM LOTUS
6855	SERROTE MANUAL 16 FLEX LOTUS
6856	SERROTE MANUAL 18 FLEX LOTUS
6857	ARCO DE SERRA CB PLAST 12 FLEX LOTUS
6858	JG C/12 SOQUETE 1/4 4-13MM PRIX LOTUS
6859	JG C/12 SOQUETE 3/8 10-17,19,22MM LOTUS
6860	REGISTRO ESFERA 3/4 100/10 LOTUS
6861	TORQUES PARA PISO 7 60/6 LOTUS
6862	FACAO MACHETE 12 36/6 LOTUS
6863	FACAO MACHETE 14 36/6 LOTUS
6864	FACAO MACHETE 16 36/6 LOTUS
6865	GARRAS AVULSA PARA CARGA, 50A PAR LOTUS
6866	GARRAS AVULSA PARA CARGA, 100A PAR LOTUS
6867	VENTOSA SUCCAO P/VIDROS 2 COPOS LOTUS
6868	VENTOSA SUCCAO P/VIDROS 1 COPO LOTUS
6869	FLANGE P/ESMERILH 45 X 115-125MM LOTUS
6870	FLANGE P/ESMERILH 50 X 180MM LOTUS
6871	GRAMPOS 0,7 X 8MM EMB C/1000 100/1 LOTUS
6872	RODIZIO PCPU 35 30KG S/FREIO 200/50 LOTU
6873	MAO FRANCESA VIDRO 13,5X20CM LOTUS
6874	PORTA ALPHA CARVALHO MEIA LUA 70X210X3#
6875	PORTA ALPHA CARVALHO MEIA LUA 80X210X3#
6876	TINTA SPRAY UG 400ML W-MAX CINZA ESCURO
6877	PISO GUAPORE 64X64 ESM BRI A CX3,26 ELIZ
6878	PISO CLASSICO CRU RET 60X60 POINTER#
6879	CHAVE DE BIELA LONGA GALV 10MM LOTUS
6880	ADAP SOLD ANEL VED CX CIL/RET 20MM TIGRE
6881	ADAP SOLD ANEL VED CX CIL/RET 32MM TIGRE
6882	ADAP SOLD ANEL VED CX CIL/RET 40MM TIGRE
6883	NIPEL PARALELO C/ROSC 1/2 TIGRE
6884	NIPEL PARALELO C/ROSC 3/4 TIGRE
6885	ENGATE FLEX DE PVC 1/2X40CM TIGRE
6886	FITA VEDA ROSCA 18MMX10M TIGRE
6887	ESPUDE LIGACAO VASO SANITARIO CB TIGRE
6888	1040TORN LAV/COZ/MESA 1/4V 1/2 DN15 CR R
6889	1428TORN TANQ/PARE-MAQ LAVAR C38 1/4 REA
6890	1428TORN TANQ/PARE-MAQ LAVAR C17 1/4 REA
6891	1428TORN TANQ/PARE-MAQ LAVAR C90 1/4 REA
6892	BASE REGISTRO GAVETA 1/2 DN15 BRUTO DECA
6893	PISO JAPURA ESM BRI 62,5X62,5 C CX2,34
6894	ADESIVO PVC POLYTUBES 75G#
6895	FITA VEDA ROSCA PRATIK 18MMX10M
6896	PISO DECK AS STDA-DIV EXT 46X46 CX2,36#
6897	PISO BARBALHA BR STDA-DIV 46X46 CX2,36#
6898	PISO AROEIRA STDA-DIV EXT 46X46 CX2,36#
6899	PISO ENSEADA AS STDA-DIV E 46X46 CX2,36#
6900	PISO ITAPEMIRIM C ESM.BRI 62,5X62,5 2,34
6901	SUPORTE P/TV UNIVERSAL 10/71 BRASFORMA
6902	PAINEL LED FRAMELESS 17W QUAD.EMB 3000K
6903	LAMP LED PAR20 E27 4,8W 100-240V 2700K B
6904	LAMP LED T70 E27 20W 100-240V 6500K BLUM
6905	SPOT SLIM LED EMB RED PBT-PC 3W 4100K BL
6906	SPOT SLIM LED EMB QUAD PBT-PC 3W 4100K B
6907	SPOT SLIM LED EMB QUAD PBT-PC 6W 4100K B
6908	PAINEL LEDPLAY SOB QUA 12W 240V 6500K BL
6909	PAINEL LEDPLAY EMB QUA 18W 240V 6500K BL
6910	PAINEL LEDPLAY SOB QUA 18W 240V 6500K BL
6911	PAINEL LEDPLAY EMB QUA 24W 240V 6500K BL
6912	PAINEL LEDPLAY SOB QUA 24W 240V 6500K BL
6913	PISO NATURALE BIANCO PLUS 45X45 B CX2,00
6914	BETUFITA SLEEVE 10CMX10M PNE VIAPOL
6915	MANTEX 15CM X 5M - VIAPOL
6916	VIAPOLSELA ESPUMA EXPANSIVA VIAPOL
6917	TABUA PARA ANDAIMES LOCACAO#
6918	CONJUNTO SAIDA DE FIO 4X2 BR B3 - RES.SF
6919	CONJ1 TOM PAD 2P+T 10A-250V 4X2 B3 MG
6920	PISO ITAUNAS BEGE ESM.BRI C 52X52 2,70 E
6921	FIXA LED S/PREGO C/10UND - TASCHIBRA
6922	PISO TEXAS MATTE HD 17X106 A CX1,45 CERB
6923	REV ONDINA BEGE A 30X60 MATE CX2,37 POIN
6924	AREJADOR ARTICULADO 3621 HERC
6925	AREJADOR FIXO 3620 HERC
6926	PRENDEDOR PLASTICO CORES PCT C/12 MASTER
6927	AMANCO - DUCHA 4 BR PLAST 1/2
6928	REATOR ELET 1X20W BIV FLUOR POUP BFP INT
6929	IRRIGADOR ESQUI P/ ENGATE RAPIDO 3520
6930	DERIVADOR DE PASSE LIVRE JARDINAGEM
6931	VALVULA DE RETENCAO SOLDAVEL DN25 AMANCO
6932	ABRAC INCA TIPO U 1 INCH UNIDADE
6933	ABRAC INCA TIPO U 1.1/2 UNIDADE
6934	ABRAC INCA TIPO U 1.1/4 UNIDADE
6935	ABRAC INCA TIPO U 1/2 UNIDADE
6936	ABRAC INCA TIPO U 2 INCH UNIDADE
6937	ABRAC INCA TIPO U 3 INCH UNIDADE
6938	ABRAC INCA TIPO U 3/4 UNIDADE
6939	ABRAC INCA TIPO U 3/8 UNIDADE
6940	ARMADOR BATOM REDE CHUMBAR GALV ISERO
6941	GRELHA ASTRA QUAD C/VD PLAST 10,2X10,2CM
6942	GRELHA ASTRA QUAD C/VD PLAST 9,4X9,4CM
6943	GRELHA ASTRA REDONDA C/VED PLAST 100X100
6944	OCULOS KALIPSO JAGUAR PROTECAO CZ
6945	PASSA FIO ENERLUX NYLON 10M BR
6946	PASSA FIO ENERLUX NYLON 15M BR
6947	PORTA CADEADO 3.1/2 ZC METAL VI UNIDADE
6948	PORTA CADEADO 3.1/2 GALV ISERO UNIDADE
6949	SOQUETE BAQ E27 4A RAB PT MECTRONIC
6950	1121127 TORN PIA C/CHUV 10CM 1/2 BR HERC
6951	FECH.1200 GRAFITE PORTA DE ENROLAR STAM#
6952	LUVA LATEX CONFORT DANNY G#
6953	CARRETEL P/ APARADOR DE GRAMA TRAMONTI#
6954	QUADRO DIST 24DIN AMANCO #
6955	HIPERLAR ESM SINT AMARELO 3,6L #
6956	BOMBA SUBMERSA AQUAFORTE 600 220V
6957	CORANTE LIQUIDO TEKBOND AZUL 50ML
6958	CORANTE LIQUIDO TEKBOND PRETO 50ML
6959	FITA CREPE BRANCA 18MMX50M TEKBOND
6960	FITA CREPE BRANCA 24MMX50M TEKBOND
6961	FITA CREPE BRANCA 48MMX50M TEKBOND
6962	PA DE BICO MAX N3 C/C PLASTICO Y
6963	SILICONE ACETICO TEKBOND TRANSP 256G
6964	OBTURADOR BORR NITRI MEC.SAID S/CORRENT
6965	ACRILMIX 1LT REJUNTAMIX
6966	ELETRODO E6013 2,50 X 35O CZ WELD 1KG
6967	PISO LUMINATTO BLANCO POL 75X75 A CX2,29
6968	REFLETOR LED PLAY ALUM 200W 650OK BLUMEN
6969	PISO RET E MOTION WOOD 45X90 MATE CX1.64
6970	TEXTURA ACRIL EXT 25KG VERDE MUSGO SBRAS
6971	PISO LUMINATTO BLANCO A MAT 75X75 CX2,29
6972	CARRO MAO C/PC 3,25 PRETO MASTER MAESTRO
6973	DESENTUPI TUBULACAO 10MX5MM AC SORTELUZ
6974	DOBRAD CART C/3PCS P.M FZC 3.1/2 SCHILD
6975	ESCADA 2 DEGRAUS ALUMINIO MAESTRO
6976	ESCADA 3 DEGRAUS ALUMINIO MAESTRO
6977	ESCADA 4 DEGRAUS ALUMINIO MAESTRO
6978	ESCADA 5 DEGRAUS ALUMINIO
6979	FURADEIRA DE IMPACTO 3/8 550W HAMMER
6980	GRAFITE EM PO 25G BESTFER
6981	ORGANIZADOR DE FIOS C/APLICADOR BRANC 1M
6982	RALO PARA PIA BORDA LARGA 7.3CM BESTFER
6983	RATOEIRA ADESIVA 22,8X37,6CM PREGA UND
6984	CAIXA DE PORTA MANDIOQUEIRA 0,70 X 2,10#
6985	CAIXA DE PORTA MANDIOQUEIRA 0,60 X 2,10#
6986	MODULO INT BIPO SIMP 25A-250V BR RE MG
6987	MODULO INT PARALELO 6A-250V BR RE MG
6988	MODULO TOMADA 2P+T 10A-250V BR RE MG
6989	MODULO TOMADA 2P+T 20A-250V BR RE MG
6990	CONJ TOMADA TV COAXIAL 75 OHMS 4X2 BR RE
6991	MODULO INT SIMP 6A-250V BR RE MG
6992	TMD1-2 PRETO FEM TOMAD DESMONT 2P+10A MG
6993	PLD1-2 PRETO MACH PLUGUE 2P+10A 180G MG
6994	DJ-3K1 DISJUNTOR C32 32A UNIPOLAR MG
6995	ADP2-34 BRANCO (B) 2P+T BENJAMIM MG
6996	RFE131 RELE COM BASE BS2 AUT 1000W BI MG
6997	ADP1-35 ADAP BR 2P+T 250V 10A C/2 USB 2A
6998	PLUG IND MOV 16A 3P 380/440V VERM 9H MG
6999	PLUG IND MOV 32A 3P 380/440V VERM 9H MG
7000	FITA ISOLANTE 19MMX5M 0,13MM CLASS C MG
7001	FITA ISOLANTE 19MMX10M 0,13MM CLASS C MG
7002	FITA ISOLANTE 19MMX20M 0,13MM CLASS C MG
7003	PISO JARI C ESM.ACET 62,5X62,5 CX2,34 EL
7004	CORDA FORCE VERDE N04 METRO
7005	CORDA FORCE VERDE N06 METRO
7006	CORDA FORCE VERDE N08 METRO
7007	CORDA FORCE VERDE N10 METRO
7008	CORDA FORCE VERDE N12 METRO
7009	PISO NEVE 42X42 TIPO B CX 2,00MT AZIMULT
7010	REVEST LENCOIS 30X60 BR A CX2,37 POINTER
7011	VASSOURA LIMPEZA SIMPLES CERDAS PLAST#
7012	GRAUTE 25KG QUARTZOLIT#
7013	ARMATEC VEDACIT 1L#
7014	CHAPA DE MADERITE 1,10X2,20X11MM#
7015	CABO PP FLEX 3X4MM METRO#
7016	SPOT LED DIRECT MR16 BR LINEAR 4W TACHIB
7017	LED-PER-IN-BR6500K-200-7W-BIVOLT-MK560-E
7018	MACHADINHA COM UNHA 450G TRAMONTINA
7019	SUPERGRAUTE 25KG QUARTZOLIT
7020	FITA PLASTBAND ALUM 10CM D PLASTIC
7021	DISJUNTOR BIPOLAR SDB2 2P STECK#
7022	DISJUNTOR BIPOLAR B6 2P STECK#
7023	BROCA ACO RAPIDO 9/32 - IRWIN
7024	REGUA ALUMINIO PEDREIRO 2M LIDER
7025	CORANTE LIQUIDO TEKBOND BRANCO 50ML#
7026	CUBA QUADRADA APOIO 30CM BRANCO DECA
7027	PISO MARAGOGI 62,5X62,5 EXT A CX2,34 ELI
7028	DISJUNTOR STECKS BR DR TRIF 25A 4P#
7029	PORTA SANFONADA 80 BRANCA FORTLEV
7030	PISO PONTA DE ESTOQUE #
7031	JANELA ALUMINIO CAN 80X80 #
7032	ZARCAO STAR CINZA 3,6L
7033	ZARCAO STAR CINZA 900ML
7034	ZARCAO STAR PRETO 3,6L
7035	SELADOR P/MADEIRA 3,6L EXTRA EUCATEX
7036	SELADOR P/MADEIRA 900ML EXTRA EUCATEX
7037	PREGO TELHEIRO THOR 18X13 500G
7038	FAME PLACA REDONDA BRANCA CEGA 4''#
7039	FAME PLACA CEGA 4X4 BRANCA#
7040	MODULO TOMADA 2P+T 10A-250V BR FAME#
7041	PLACA 4X2 2 MOD C/SUPORTE BR FAME#
7042	CABO FLEX 2,5MM COBRECOM AZUL C/100M
7043	CABO FLEX 2,5MM COBRECOM AMARELO C/100M
7044	PAINEL LED 18W LYS QUAD EMB 6500K TASCHI
7045	SPOT EMB RED ALLTOP LED MR11 3W 3000K TA
7046	SPOT EMB QUAD ALLTOP LED PAR20 7W 4000K
7047	PAINEL LED 24W LYS QUAD EMB 6500K TASCHI
7048	PAINEL LED 18W LYS QUAD SOB 6500K TASCHI
