	Descricao
289	ABRAC NYLON BRANCA 2,5X100 -100 PCS FERT
290	ABRAC NYLON BRANCA 2,5 X 140 - 100 PCS
291	ABRAC NYLON BRANCA 2,5 X150 100PC FERTAK
292	TRINCHA SIMPLES 500 - 1/2 CERDA TIGRE
293	TRINCHA SIMPLES 500 - 3/4 CERDA TIGRE
294	TRINCHA SIMPLES 500 - 1 CERDA TIGRE
295	ABRACADEIRA  NYLON BRANCA 2,5X200 100PC
296	TRINCHA SIMPLES 500 - 1.1/2 CERDA TIGRE
297	ABRAC NYLON BRANCA 3,5 X 140 - 100 PCS
298	TRINCHA SIMPLES 500 - 2 CERDA GRIS TIGRE
299	TRINCHA SIMPLES 500 - 2.1/2 CERDA TIGRE
300	TRINCHA SIMPLES 500 - 3 CERDA GRIS TIGRE
301	TRINCHA SIMPLES 500 - 4 CERDA TIGRE
302	TRINCHA MEDIA 728 - 1/2 SINT BRANC TIGRE
303	TRINCHA MEDIA 728 - 3/4 SINT BRANC TIGRE
304	TRINCHA MEDIA 728 - 1 SINT BRANCO TIGRE
305	TRINCHA MEDIA 728 - 1.1/2 SINT BRANC TIG
306	TRINCHA MEDIA 728 - 2.1/2 SINT BRANC TIG
307	TRINCHA MEDIA 728 - 2 SINT BRANC TIGRE
308	TRINCHA MEDIA 728 - 3 SINT BRANCO TIGRE
309	ABRAC NYLON PRETA 3,5 X 280 - 100 PCS
310	TRINCHA MEDIA 728-4 SINT BC TIGRE
311	ROLO LA SINT 23CM 1312-230 TIGRE
312	ABRAC NYLON BRANCA 3,6 X 100 - 100 PCS
313	ROLO LA PELE CARNEIRO 1320 23CM TIGRE
314	ABRAC NYLON BRANCA 3,6 X 250 - LOTUS
315	ROLO LA PELE CARNEIRO 1322 23CM TIGRE
316	ROLO MICROFIBRA 1338 23 TIGRE
317	ROLO LA SINT 1376 - 23CM ANTIRRESP TIGRE
318	ABRAC NYLON BRANCA 3,6 X 350 - 100 PCS
319	ROLO ESPUMA 1341-50MM AMARELO TIGRE
320	ROLO ESPUMA 1341-90MM AMARELO TIGRE
321	ROLO ESPUMA 1341-150MM AMARELO TIGRE
322	ROLO TEXTURA MEDIA 1352-23CM TIGRE
323	ROLO TEXTURA 1352-090 TIGRE
324	DESEMPENADEIRA DE ACO INOX 2132-001 TIGR
325	ESPATULA PLAST 2160 06CM LISA DECOR TIGR
326	ABRAC NYLON BRANCA 3,6 X 400 - 100 PCS
327	ESPATULA PLAST 2160 08CM LISA DECOR TIGR
328	ESPATULA PLAST 2160 10CM LISA DECOR TIGR
329	ABRAC NYLON BRANCA 4,8 X 100 - 100 PCS
330	ABRAC NYLON BRANCA 4,8 X 150 - 100 PCS
331	KIT 1541 BASICO PAREDES 3PC TIGRE
332	ABRAC NYLON BRANCA 4,8 X 200 - 100 PCS
333	KIT 1540 PRATIC ACES TIGRE
334	ABRAC NYLON BRANCA 4,8 X 280 - 50 PCS
335	LIXA MASSA MADEIRA 800-G100 TIGRE
336	LIXA MASSA MADEIRA 800-G120 TIGRE
337	LIXA MASSA MADEIRA 800-G50 TIGRE
338	LIXA MASSA MADEIRA 800-G60 TIGRE
339	LIXA MASSA MADEIRA 800-G80 TIGRE
340	LIXA MASSA MADEIRA 800-G150 TIGRE
341	LIXA MASSA MADEIRA 800-G180 TIGRE
342	LIXA MASSA MADEIRA 800-G220 TIGRE
343	SUPORTE P/ ROLO 1301-230 TIGRE
344	SUPORTE ULTRA 1311 230MM TIGRE
345	EXTENSOR 1307/20 2M TELESCOPICO TIGRE
346	EXTENSOR 1307/30 3M TELESCOPICO TIGRE
347	PINCEL CHATO RETO 815-08 CERDA TIGRE
348	PINCEL CHATO RETO 815-10 CERDA TIGRE
349	PINCEL CHATO RETO 815-12 CERDA TIGRE
350	PINCEL CHATO RETO 815-16 CERDA TIGRE
351	BLOCO DE ESPUMA TIGRE
352	APLICADOR P/MASSA CORR 13CM 2171/2 TIGRE
